AcceptedName,Grass_Forb,Grass_Forb_Legume,SeedsPer.oz,SeedsPer.pkt,PacketCost,OneOzCost,OneLbCost,FullSun,PartShade,Shade,Wet,WetMesic,Mesic,DryMesic,Dry,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Conservatism
Lespedeza_capitata,F,L,8000,200,2.5,12,180,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,4
Lespedeza_virginica,F,L,100,10000,2.5,10,150,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,7
Liatris_aspera,F,F,16000,200,2.5,20,300,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,8
Liatris_cylindracea,F,F,14000,75,2.5,48,768,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,10
Liatris_ligulistylis,F,F,10000,100,2.5,40,600,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,7
Liatris_pycnostachya,F,F,11000,150,2.5,15,225,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,8
Liatris_scariosa,F,F,10800,100,2.5,30,450,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,9
Liatris_spicata,F,F,11000,150,2.5,12,180,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,7
Lilium_michiganense,F,F,10000,60,2.5,180,2880,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,8
Lobelia_siphilitica,F,F,500000,1000,2.5,20,300,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,4
Lobelia_spicata,F,F,900000,750,2.5,80,1200,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,4
Ludwigia_alternifolia,F,F,1300000,1000,2.5,20,300,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,6
Lupinus_perennis,F,L,1100,40,2.5,20,300,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,7
Lysimachia_ciliata,F,F,39000,100,2.5,100,1600,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,7
Maianthemum_racemosum,F,F,400,20,2.5,15,225,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,5
Maianthemum_stellatum,F,F,400,15,2.5,240,3840,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,5
Mentha_arvensis,F,F,300000,500,2.5,50,800,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,5
Monarda_fistulosa,F,F,70000,500,2.5,15,225,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,4
Monarda_punctata,F,F,90000,500,2.5,20,300,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,4
Muhlenbergia_mexicana,G,G,175000,400,2.5,30,450,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,5
Oenothera_biennis,F,F,90000,750,2.5,6,90,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0
Oenothera_pilosella,F,F,266000,500,2.5,150,2400,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,10
Oxalis_violacea,F,F,50000,100,2.5,300,4500,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,8
Panicum_virgatum,G,G,14000,500,2.5,3,15,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,3
Parthenium_integrifolium,F,F,7000,200,2.5,10,150,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,8
Pedicularis_canadensis,F,F,33000,75,2.5,60,960,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,9
Penstemon_digitalis,F,F,130000,1000,2.5,6,90,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,4
Penstemon_grandiflorus,F,F,14000,300,2.5,15,240,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,8
Penstemon_hirsutus,F,F,248000,1000,2.5,40,640,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,9
Penstemon_pallidus,F,F,180000,750,2.5,50,750,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,9
Phlox_pilosa,F,F,19000,75,2.5,100,1500,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,8
Physostegia_angustifolia,F,F,22000,300,2.5,10,150,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,10
Physostegia_virginiana,F,F,11000,200,2.5,50,750,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,4
Polemonium_reptans,F,F,18000,100,2.5,80,1280,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,8
Polygonatum_biflorum,F,F,800,30,2.5,20,300,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,4
Potentilla_arguta,F,F,230000,1000,2.5,8,120,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,10
Psoralea_onobrychis,F,L,1200,30,2.5,25,400,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,4
Pycnanthemum_tenuifolium,F,F,378000,1000,2.5,30,450,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,7
Pycnanthemum_verticillatum,F,F,185000,1000,2.5,25,375,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,4
Pycnanthemum_virginianum,F,F,220000,1000,2.5,40,600,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,5
Ratibida_pinnata,F,F,30000,1000,2.5,5,75,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,4
Rosa_arkansana,F,F,2500,75,2.5,25,400,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,8
Rosa_blanda,F,F,2600,75,2.5,20,300,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,4
Rosa_carolina,F,F,2500,75,2.5,30,480,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,5
Rosa_setigera,F,F,3800,75,2.5,30,480,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,5
Rudbeckia_fulgida,F,F,31000,150,2.5,50,800,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,8
Rudbeckia_hirta,F,F,92000,2000,2.5,3,45,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1
Rudbeckia_laciniata,F,F,10000,100,2.5,15,240,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,4
Rudbeckia_subtomentosa,F,F,43000,500,2.5,8,128,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,8
Rudbeckia_triloba,F,F,34000,750,2.5,6,90,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
Ruellia_humilis,F,F,5200,100,2.5,30,450,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,8
Schizachyrium_scoparium,G,G,15000,500,2.5,3,22,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5
Scrophularia_marilandica,F,F,170000,1000,2.5,10,150,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,4
Senecio_plattensis,F,F,100000,200,2.5,140,2240,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4
Senna_hebecarpa,F,L,1400,100,2.5,8,120,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,9
Senna_marilandica,F,L,1700,100,2.5,8,120,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,9
Silene_regia,F,F,23000,100,2.5,50,800,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,10
Silene_stellata,F,F,30000,100,2.5,60,900,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,6
Silphium_integrifolium,F,F,1200,75,2.5,8,120,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,5
Silphium_laciniatum,F,F,660,50,2.5,8,120,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,5
Silphium_perfoliatum,F,F,1400,75,2.5,8,120,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,5
Silphium_terebinthinaceum,F,F,1000,35,2.5,20,300,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,5
Silphium_trifoliatum,F,F,1300,40,2.5,30,480,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,5
Sisyrinchium_albidum,F,F,20000,75,2.5,150,2400,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,6
Sisyrinchium_campestre,F,F,45000,75,2.5,35,525,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,10
Smilax_lasioneura,F,F,500,15,2.5,12,192,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,5
Solidago_gigantea,F,F,250000,750,2.5,60,960,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,4
Solidago_juncea,F,F,290000,750,2.5,60,960,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,3
Solidago_nemoralis,F,F,300000,1000,2.5,20,300,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,3
Solidago_ohioensis,F,F,110000,1000,2.5,15,225,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,10
Solidago_ptarmicoides,F,F,64000,500,2.5,25,400,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,10
Solidago_rigida,F,F,41000,1000,2.5,8,120,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,3
Solidago_speciosa,F,F,95000,1000,2.5,15,225,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,8
Sorghastrum_nutans,G,G,12000,1000,2.5,3,18,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5
Spartina_pectinata,G,G,6600,250,2.5,8,120,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,4
Spiraea_alba,F,F,0,0,2.5,50,750,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,5
Spiraea_tomentosa,F,F,300000,1000,2.5,30,480,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,8
Sporobolus_compositus,G,G,28000,500,2.5,3,30,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,9
Sporobolus_cryptandrus,G,G,200000,1000,2.5,3,30,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,3
Sporobolus_heterolepis,G,G,16000,300,2.5,8,120,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,10
Stipa_spartea,G,G,680,0,minimum 1 oz.,8,120,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,8
Symphyotrichum_ericoides,F,F,200000,300,2.5,50,800,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,6
Symphyotrichum_laeve,F,F,55000,750,2.5,15,225,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,9
Symphyotrichum_lanceolatum,F,F,156000,500,2.5,30,450,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,3
Symphyotrichum_lateriflorum,F,F,250000,750,2.5,50,800,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,10
Symphyotrichum_novaeangliae,F,F,66000,500,2.5,20,300,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,3
Symphyotrichum_oblongifolium,F,F,51000,200,2.5,30,480,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,9
Symphyotrichum_oolentangiense,F,F,80000,1000,2.5,20,300,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,8
Symphyotrichum_pilosum,F,F,140000,750,2.5,30,480,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0
Symphyotrichum_sericeum,F,F,26000,300,2.5,40,600,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,10
Symphyotrichum_turbinellum,F,F,400,"35,000",2.5,30,480,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,7
Symphyotrichum_undulatum,F,F,135000,1000,2.5,12,180,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,3
Taenidia_integerrima,F,F,6000,90,2.5,50,800,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,10
Tephrosia_virginiana,F,L,2500,60,2.5,25,375,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,8
Teucrium_canadense,F,F,20000,300,2.5,10,150,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,3
Thalictrum_dasycarpum,F,F,11000,200,2.5,15,225,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,6
Thaspium_trifoliatum,F,F,9000,100,2.5,30,450,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,8
Tradescantia_bracteata,F,F,10000,150,2.5,30,450,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,7
Tradescantia_occidentalis,F,F,200,9000,2.5,40,640,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,5
Tradescantia_ohiensis,F,F,8000,150,2.5,15,225,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,3
Tridens_flavus,G,G,26000,1000,2.5,3,30,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
Triosteum_perfoliatum,F,F,450,15,2.5,20,320,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,4
Tripsacum_dactyloides,G,G,370,75,2.5,3,25,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,4
Verbena_hastata,F,F,93000,750,2.5,4,60,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,4
Verbena_stricta,F,F,28000,750,2.5,6,90,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,4
Verbena_urticifolia,F,F,47000,500,2.5,10,160,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,2
Verbesina_helianthoides,F,F,500,14000,2.5,8,120,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,5
Vernonia_fasciculata,F,F,24000,500,2.5,10,150,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,8
Vernonia_gigantea,F,F,28000,400,2.5,10,150,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,4
Vernonia_missurica,F,F,22000,250,2.5,10,150,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,4
Veronicastrum_virginicum,F,F,800000,2000,2.5,50,800,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,8
Viola_pedata,F,F,26000,50,2.5,300,4500,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,9
Viola_pedatifida,F,F,28000,100,2.5,50,800,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,9
Viola_sororia,F,F,23000,50,2.5,220,3520,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,3
Zizia_aptera,F,F,12000,150,2.5,15,225,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,10
Zizia_aurea,F,F,11000,150,2.5,6,90,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,5